Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0b4tHpWbiESU09gmb0ditV,"אוהב להיות בבית","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,273173,11,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.746,0.653,0,-12.177,0,0.0352,0.105,0,0.351,0.916,128.654,4
spotify:track:4FL94t5yRadkUBwRAq6yn1,"יושב מול הנייר","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,317000,12,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.583,0.515,4,-12.891,0,0.0336,0.553,0,0.082,0.466,131.905,4
spotify:track:3RaaKsMF8NZvARkx7dICAY,"אחכה","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,192320,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.519,0.187,9,-15.479,0,0.0334,0.897,0.00000156,0.0833,0.288,76.226,4
spotify:track:0q42BdfehLztSQ0QqApxXS,"השיר על התוכי יוסי","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,271986,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.442,0.2,7,-17.154,1,0.0297,0.919,0.000882,0.13,0.334,81.895,4
spotify:track:3uallJtWftFiDZYZ2uFAZd,"שכשנבוא","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,238893,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.533,0.632,1,-11.227,0,0.0327,0.252,0,0.103,0.596,126.402,4
spotify:track:7zSQJzZ3ehLPiVaddLk8QP,"שיר השיירה","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,252000,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.652,0.656,3,-12.066,1,0.0351,0.361,0,0.389,0.962,116.592,4
spotify:track:56zBmvpKA68ALNrWDw8J8v,"עיתונאי קטן","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,294133,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.601,0.475,7,-16.199,1,0.0409,0.497,0.0000764,0.0918,0.382,148.969,4
spotify:track:1ypKRIPxUO01d6dQ6v6KrG,"עוף גוזל","המיטב","Arik Einstein",2015-03-10,261866,15,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.522,0.406,6,-8.354,1,0.0256,0.773,0.000025,0.114,0.38,73.514,4
spotify:track:57XZTrlHMByGgqL3aUo4YM,"עטור מצחך","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,247306,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.501,0.31,9,-11.009,0,0.028,0.923,0,0.139,0.392,103.588,4
spotify:track:5uISmOrhksrWFufJUcu1n9,"צער לך","המיטב","Arik Einstein;Yoni Rechter;Yehudit Ravitz",2015-03-10,253000,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.598,0.171,2,-18.199,1,0.0302,0.937,0.0286,0.102,0.288,137.757,4
spotify:track:02rvcNusfhStoxL13rywsF,"ולמות","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,197360,4,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.438,0.256,9,-15.211,0,0.0338,0.725,0,0.0844,0.169,69.24,4
spotify:track:197ETJKAGWy4vruTYgRCsp,"סתיו יהודי","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,219000,4,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.543,0.143,2,-19.351,0,0.0373,0.901,0.000276,0.12,0.0725,124.715,4
spotify:track:247F7iqY6mGzIppYCPlrI6,"שבת בבוקר","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,182000,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.758,0.406,11,-13.422,1,0.0449,0.561,0,0.118,0.684,125.648,4
spotify:track:1BSKdcyeTNI6lTDouWQP58,"לולו","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,217000,3,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.487,0.166,6,-17.98,0,0.0384,0.795,0.00377,0.207,0.222,133.285,4
